ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey
0,4759100,1281157,1890934,80,5219416,486297,211,80158336,780254,752733,10308529,
0,5369956,1513600,969566,110,5156110,451922,120,80022272,769393,724249,10313749,
1,5069279,1276729,1001386,190,5305947,1174178,130,158910121,749657,724690,10365716,
0,4780890,743876,967313,110,5309294,487098,190,239145,772971,775335,10600504,
0,5668674,744928,998020,70,5241247,631587,240,229378,734679,725542,10289515,
0,5061943,1251622,983342,161,5207283,557589,371,224228,796374,724911,10619380,
0,5179712,1230924,1245110,220,5355299,597624,501,75785096,766218,749777,10383169,
0,5007100,1687715,3841419,351,5244274,520410,370,81364132,785523,753024,10537407,
1,5011879,732635,968926,71,5192807,686249,331,238735,788790,751421,11073025,
0,5513655,1225264,1909468,70,5261945,455589,400,221573,784532,737384,10422293,
0,5003203,1563284,972893,150,5273236,503829,441,218617,785344,891502,10322686,
1,5191184,1564164,989574,180,5209208,762672,211,245358,766368,751882,10350187,
1,5017931,1243317,984866,251,5167821,690166,200,215892,790123,1222007,10880214,
1,5246837,771528,965490,100,5207897,698462,191,220400,777529,730391,10827005,
0,5173782,766428,966521,100,5170775,504700,210,220260,773502,749326,10717461,
1,5150289,735330,967122,160,5173200,750598,110,242342,765867,709192,10841332,
1,4977628,1666105,1086715,351,5155507,751780,100,227063,786957,771578,10722841,
1,4923825,763392,964878,120,5301649,746170,201,231551,770185,852429,10636001,
1,4909208,886222,964247,91,5210109,804329,221,232614,775505,735681,10859859,
1,4899480,756821,980366,80,5154255,853460,131,215161,799450,712608,10805627,
1,5021958,820729,965159,90,5220848,811082,190,228887,752402,724741,10780109,
1,5164514,757191,970148,70,5180052,832562,100,232544,829225,740831,10818149,
0,5011428,758694,977342,90,5316569,641857,131,237733,783531,736252,10717111,
1,5020886,747884,964999,80,5207134,901370,240,250787,782207,801834,10781470,
1,9429825,1219292,968695,271,5170374,846918,481,254665,811762,1383569,10346389,
1,11009516,1767484,1462886,130,5151120,805642,251,242672,814669,701708,10457888,
1,14579239,751200,966892,160,5360719,822963,200,264363,781696,718399,10760803,
