FPS:,90
ResolutionHeight:,480
ResolutionWidth:,640

ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
1,405630,20662056,5002153,468,8383709,7386925,365,1303872,3684530,3791251,157,75843652,24900657,4167,
1,150887,24262210,6474933,260,7877401,5960968,1354,1220382,3658383,3957555,208,77992483,24177938,573,
1,118648,23535846,4801473,1042,7955683,6158940,156,1549136,3932815,5796799,208,79135780,24931490,1094,
1,240263,16534082,4877671,625,8412564,8067663,521,1346008,3713854,3778386,208,72350061,24969043,1615,
1,126043,22941254,4880432,261,7837452,5935082,156,1229652,3824636,3797396,104,75036922,24248304,4218,
1,101512,25472331,4680482,313,8009486,6330921,469,1426166,4367716,5312522,469,80949972,24879042,938,
1,118439,16234703,5201582,520,9009031,6882700,313,1214027,3750625,3783906,104,71287182,24820915,1666,
1,131668,15652508,4970277,573,8479336,5941957,209,1171578,3750677,4168235,156,68766523,24246376,729,
1,101981,16363039,5051528,573,8367355,5638984,208,1140797,3734635,4005941,104,69508147,24829145,1510,
1,111824,21299305,4793088,468,8079643,7056817,365,1585231,4192714,4927568,104,77132836,24604611,625,
1,197347,22579062,5021684,261,8048289,6107064,209,1219339,3823490,3967555,156,75470782,24258981,1094,
1,89168,25223265,4853244,260,7878911,5994666,416,1329810,4213235,5690443,156,80476892,24834822,573,
1,133908,21193626,5277521,417,8370272,5821122,313,1236787,3814636,3864793,104,74436185,24444556,2448,
1,94220,16506165,4891057,573,8518503,5913155,156,1155277,3814792,3999013,157,69807004,24658465,573,
1,87450,22303328,4828973,365,8095372,6525298,261,1504344,3979950,4976944,156,77339920,24598412,521,
1,96304,15851625,4978662,521,8382512,6166283,208,1224965,3766563,4327872,156,69451061,24407003,782,
1,105939,20779557,4857775,313,7926308,5876539,156,1254549,3762083,5091060,156,74686967,24729768,1771,
1,119585,20223976,4748086,261,8260895,7194578,157,1393301,3735677,4865120,156,75478124,24616329,729,
1,93855,15857301,5079393,625,8213863,5948884,209,1228714,3653175,3952294,156,68686832,24376377,1250,
1,117554,18501193,4933349,416,8000735,6000134,261,1200902,3651873,4449228,260,71859584,24689820,573,
1,148961,18821874,4800691,261,8015006,6377223,521,1457364,4051722,4868452,625,73779558,24748466,1510,
1,194847,19810429,5312156,521,8232718,6077272,260,1223402,3631039,3908596,104,73173144,24509035,730,
1,97813,16731012,5111165,417,8016673,5810184,209,1119599,3625414,4398394,157,70055236,24835707,2083,
1,203597,18880208,4822045,260,8012819,6538476,260,1469864,3984273,4976214,104,73964457,24590547,990,
1,166409,16599917,5104133,521,8471836,5887372,208,1134130,3685311,3891355,104,69601584,24389607,2187,
1,103595,20532002,4899026,260,7824744,5889769,156,1242621,3820313,5310803,417,74697957,24708257,625,
1,306879,17996811,4866160,364,8361626,7477602,260,1297309,3712239,5346063,260,74277950,24602578,1042,
1,131981,14915413,5378303,834,8412980,5867997,312,1045536,3608018,3948857,365,67973331,24365856,885,
1,113960,15789280,4965433,834,8234540,6023728,261,1249913,3801823,4102348,156,69413611,24810810,1407,
1,276619,19155680,4746159,261,8000840,6317170,312,1400020,4239538,5020851,260,74076384,24585025,1041,
1,186305,17598003,5063455,468,8362771,5902008,208,1225433,3845470,3856876,104,70771806,24458045,937,
1,105991,16266838,4910641,573,8113497,6009249,209,1168610,3833126,4586834,105,70217684,24921071,677,
1,229899,22344943,5006006,260,8392459,7444686,260,1406373,3958388,4662564,313,78441912,24649662,4948,
1,136929,15108541,5232832,521,8670119,6058364,260,1159600,3770521,3976148,208,68759279,24412471,678,
1,96981,15684382,4969079,521,8097768,5804402,208,1102672,3747395,4154328,313,68596568,24668725,729,
1,170003,20604711,4765899,469,8134434,6769312,416,1586115,4095837,5032569,156,76278288,24688100,677,
1,176669,20629398,5074497,417,8056673,6067792,209,1232829,3657446,4078702,157,73478563,24242157,2344,
1,100209,16392465,5019861,521,8021777,5681172,156,1058452,3632706,4609855,157,69644760,24838675,1406,
1,165159,20532470,4765846,261,8133081,6917231,417,1643408,3949377,5163300,520,76346311,24620287,729,
1,230367,21217011,9469453,417,7904692,6038781,209,1219236,3687030,4087921,156,78358890,24247781,781,
1,121304,18393170,4999756,365,7963703,5784142,157,1313612,3662082,5016110,365,72397244,24838675,1562,
1,175888,19195107,4772149,261,8162091,7261402,261,1601272,3787968,5193092,157,75141760,24603150,677,
1,175992,15623548,5130330,521,8583607,5954301,260,1173349,3680207,3996773,156,68968551,24384606,625,
1,99897,15893968,5034183,520,8032506,5822320,156,1092880,3647498,4566781,885,69256784,24776851,677,
1,201982,20937840,4672043,313,8177196,7138275,364,1651950,3859793,5121633,157,76852617,24702527,2136,
1,178804,17215496,5371741,417,8215790,5999301,156,1228090,3750989,4039274,157,70609927,24345959,625,
1,90366,20442832,4803556,312,7962453,5962061,208,1285799,3855157,5476273,105,74832485,24610703,782,
1,230941,19606102,4743867,1927,8350896,7571406,208,1265382,3881147,3765624,157,74482949,24745235,938,
1,117189,21599046,4754440,573,7996829,6098521,260,1220850,3683280,4167297,104,74090964,24195801,2187,
1,102502,15880218,5066007,468,7992089,5860445,208,1153453,3648383,4443447,156,69220376,24785131,573,
1,169950,20890808,8427668,260,8316521,7173536,417,1339966,3767917,4096983,157,79112075,24591952,2552,
1,159117,14955934,5322885,573,8578451,5915341,156,1139286,3644008,3950992,313,68365782,24388980,937,
1,105158,20395905,4792722,261,7912036,5834299,209,1245590,3919637,5365126,469,74575606,24690443,1979,
1,247452,19371412,4814754,520,8406521,7873285,261,1290278,3865106,3640935,156,74596023,24789923,729,
1,128804,21608161,8457616,417,7809795,5970967,209,1216110,3796354,3881720,208,77361321,24264499,677,
1,99064,17554875,5503670,417,7964536,5758725,208,1232152,3784635,5150643,104,72177187,24822267,625,
1,173180,18792549,4840431,313,8325114,7484165,1407,1435540,3723072,5098664,157,74929255,24668254,2709,
1,184117,22256034,4827670,520,7960786,6051490,209,1219704,3629477,3949898,105,74765815,24348406,573,
1,88907,9446900,4894910,417,8706682,6939210,156,1152620,3626612,3785781,157,64058742,25062270,573,
1,118335,15974229,3364317,313,8333239,5723047,208,1137047,3638644,4013232,156,66787060,24248197,469,
1,107137,15845269,4875744,468,8496731,5578358,260,1131786,3759583,3923960,157,68699847,24741277,1771,
1,115679,16794865,5039027,469,8099278,5741902,260,1250903,4055837,5662578,156,71759836,24613567,782,
1,153127,15259897,5981332,625,8760484,7850993,469,1166005,3926512,3991201,208,72100258,24698099,1615,
1,131096,19298181,3282076,417,8677359,5865341,156,1192360,3800990,3898074,156,70595238,24210331,1094,
1,100106,15959489,3392963,313,8256623,6215658,261,1105744,3690519,4170317,156,67883689,24723516,1511,
0,113283,16549966,3776302,364,8143810,4482770,312,1343143,3888387,5275853,417,68495574,24591691,729,
1,293858,16211055,7704584,417,8304645,7272339,156,1273872,3841771,4312820,156,74117578,24592889,938,
1,139846,14496814,3699738,834,8635535,5559660,261,1021576,3747968,3796823,365,65848141,24414918,573,
1,108127,15194739,5231478,781,8459074,5802163,313,1286215,3718748,4102400,156,68996099,24770911,2760,
1,158023,17589771,4119275,312,8025995,6988585,156,1135849,3995628,5529138,157,72911413,24814558,521,
0,224951,15180780,3527757,625,8626992,6848374,208,1305122,3868230,4055785,156,68760471,24755234,729,
1,160315,14388842,5212155,365,8357562,5933571,157,1159182,3697030,4041566,156,67999471,24789557,886,
1,99845,15187186,3681717,365,8105736,5672213,260,1067098,3786354,3951460,104,66704922,24902163,1458,
1,125887,15418752,3808281,417,8098860,5490439,260,1070380,3821042,5509190,156,68803805,25098572,1250,
1,367140,17729878,6905146,364,9652424,8375167,365,1289549,3869740,3834219,156,77208138,24825027,729,
0,150002,19284587,6257325,365,8090840,4842149,365,1011211,3793698,3713957,157,71658740,24243092,886,
1,179169,25442743,3160564,312,7855316,5993207,990,1241736,3746770,4066045,156,76149269,24272311,1823,
1,91408,19120886,4569125,417,8009953,5784818,208,1230434,3731249,5604556,156,73400013,24900757,833,
1,234066,18228009,6498161,260,9381222,7711980,573,1207621,3836563,4163755,156,76655266,25033728,2604,
1,130939,14444000,5086684,677,8194487,5927165,104,1145640,3691404,3773906,104,67217846,24569242,833,
1,136408,15190155,3709217,677,8105058,6372431,208,1048661,3775937,4087660,157,67816864,25022529,1719,
1,109897,20443456,3511037,677,8161257,6192689,469,1519291,4215839,5489398,156,74871075,24822475,573,
1,96512,17366487,5587732,990,8416730,8775900,573,1397207,3985523,3981200,156,75023054,25055810,1250,
1,106929,25668579,3534736,261,8030683,5908310,208,1259288,3821302,4012816,208,77441160,24885547,677,
1,106407,16368661,7307756,417,8213133,5655702,156,1063087,3846147,5395439,416,73785277,25452483,1770,
1,263233,22490150,4864441,677,8751734,7777034,365,1349810,3856927,3728697,156,78712427,25254407,1145,
1,112606,20520280,4964339,2084,8109121,5964561,156,1223715,3717759,4001148,156,73425740,24579346,1198,
1,106511,17607375,5104445,312,8312665,5906956,260,1245850,3915627,5424345,364,73499491,25493420,625,
1,254691,21757275,4769804,469,8794443,8043964,156,1427259,4082973,3855834,156,78447580,25117686,3073,
1,151720,22751665,4440790,261,8078495,5842320,208,1206527,3908230,3770885,104,74974668,24592679,677,
1,120523,16232981,5031058,1250,9087780,5618514,260,1235017,3906720,4679543,104,72195932,25915978,1198,
1,230264,18252124,3360150,260,8399645,6833062,208,1548771,4303028,5286009,156,74938573,26184367,834,
1,244170,19716988,5633619,260,9512370,5885810,208,1186631,3806354,3977346,104,74872375,24617575,1823,
1,176982,22020665,5412521,365,8010838,6014301,260,1287934,4265110,6013936,104,79067328,25485973,729,
